section id,recording id,timestamp [ns],gyro x [deg/s],gyro y [deg/s],gyro z [deg/s],acceleration x [G],acceleration y [G],acceleration z [G],roll,pitch
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787905722541,-102.987808,99.146347,-20.243902,0.243713,0.755127,0.585388,5.6854625138293216,-72.38235276165136
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787910660541,-106.158539,103.536591,-22.987806,0.244751,0.77887,0.63208,5.129629098542864,-72.9742244768567
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787915598541,-110.18293,107.256104,-25.121952,0.280457,0.87738,0.7099,4.551142688104903,-73.58726856728529
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787920536541,-114.390244,111.097565,-24.45122,0.308167,0.959534,0.783997,3.953960087596897,-74.22128819809677
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787925474541,-119.756104,114.329269,-21.402439,0.30188,0.944885,0.790344,3.3444810648556427,-74.88063809726103
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787930412541,-125.670738,116.585365,-19.207317,0.294983,0.918213,0.771851,2.725312993240607,-75.56930673434496
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787935350541,-131.707321,118.780487,-18.719513,0.309387,0.93219,0.720398,2.0922384964123637,-76.2937462097359
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787940288541,-138.841461,121.768295,-19.87805,0.282715,0.941162,0.612305,1.4424080923274971,-77.06567727657827
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787945226541,-146.646347,124.695122,-22.37805,0.264832,0.9422,0.487122,0.7736702239558042,-77.89215217011551
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787950164541,-154.939026,128.292679,-24.939026,0.26709,0.898682,0.383301,0.07999372253615888,-78.77271099950534
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787955102541,-162.621948,133.475616,-27.682928,0.261963,0.801392,0.313843,-0.6466654971388266,-79.69889985002169
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787960040541,-166.951218,140.670731,-31.829269,0.256958,0.703369,0.263489,-1.4175465685248128,-80.65334175920549
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787964978541,-166.951218,150.243912,-38.170734,0.260376,0.610413,0.21051,-2.248350980198495,-81.61780003894353
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787969916541,-162.560974,163.048782,-47.317074,0.250061,0.556091,0.157654,-3.152353593773597,-82.57874718970544
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787974854541,-156.768295,176.524399,-55.975613,0.166077,0.665283,0.132202,-4.1013193388085085,-83.54116022777788
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787979792541,-154.634155,188.841461,-58.963417,0.123596,0.741516,0.152466,-5.097572246151998,-84.50358337018193
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787984730541,-154.390244,200.548782,-60.0,0.082886,0.768677,0.193787,-6.140554843052257,-85.46834178212976
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787989668541,-154.817078,210.975616,-62.317074,0.031677,0.77887,0.266113,-7.224272254574743,-86.43583969789879
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787994606541,-154.817078,218.780487,-67.317078,0.005432,0.765747,0.362122,-8.34239357056856,-87.40538943105739
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306787999544541,-154.207321,224.756104,-75.121956,-0.015015,0.759583,0.40509,-9.485372914573105,-88.3896240370581
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788004482541,-154.634155,230.182938,-84.695122,-0.016968,0.792053,0.382874,-10.64967742226247,-89.4118741746619
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788009420541,-157.804886,236.219513,-95.060974,-0.000305,0.80719,0.297913,-11.8365944106408,-90.4996162232053
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788014358541,-161.768295,244.024399,-107.5,0.017212,0.782227,0.157227,-13.048633600322091,-91.67488377623357
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788019296541,-165.182938,254.085373,-122.560982,0.060242,0.777039,-0.012268,-14.29265677590405,-92.95822543004533
e38715cc-2c2b-4979-a033-addd67dd09f3,de913cc7-7eb0-4e8e-a696-322d373fe4f3,1629306788024234541,-167.621948,267.621948,-137.439026,0.132385,0.791565,-0.207886,-15.581320582983011,-94.36142314075585
